sale_id,class_id,sale_quantity,brand_id,compartment,type_id,level_id,department_id,TR,gearbox_type,displacement,if_charging,price_level,price,driven_type_id,fuel_type_id,newenergy_type_id,emission_standards_id,if_MPV_id,if_luxurious_id,power,cylinder_number,engine_torque,car_length,car_width,car_height,total_quality,equipment_quality,rated_passenger,wheelbase,front_track,rear_track
1,289403,94,12,2,1,1,1,6,MT,1.8,L,8-10W,9.5,1,1,1,1,2,1,98,4,170,4440,1833,1545,1695,1320,5,2700,1556,1562
2,745137,435,637,3,2,1,2,6,DCT,1.6,L,10-15W,13.2,1,1,1,1,2,1,94,4,159,4534,1823,1483,1711,1336,5,2648,1553,1544
3,714860,180,831,3,2,2,3,6,AT,1.8,L,10-15W,14.4,1,1,1,1,2,1,105,4,176,4720,1815,1465,1860,1459,5,2770,1579,1589
4,175962,40,750,3,2,1,4,6,AT,1.6,L,10-15W,8.6,1,1,1,1,2,1,81,4,155,4475,1706,1469,1625,1145,5,2603,1460,1500
5,270690,19,98,2,3,3,1,5,MT,1.5,L,5WL,-,2,1,1,1,1,1,82,4,146.5,4415,1685,1850,1825,1236,5,2720,1420,1440
6,290854,53,537,2,1,1,5,0,CVT,2,L,15-20W,21,1,1,1,1,2,1,114,4,190,4585,1820,1685,2010,1540,5,2620,1580,1580
7,692703,81,807,2,1,1,1,5,MT,1.3,T,10-15W,13.3,1,1,1,1,2,1,101,4,202,4510,1852,1677,1900,1450,5,2650,1575,1570
8,978089,37,12,2,2,1,1,5,MT,1.5,L,5-8W,8.9,1,1,1,1,2,1,80,4,140,4425,1789,1470,1611,1236,5,2650,1502,1492
9,219195,115,638,2,1,3,1,6,AT,1.5,T,10-15W,11.1,1,1,1,1,2,1,110,4,210,4335,1814,1695,1895,1520,5,2560,1525,1520
10,851857,78,75,2,1,2,2,8,AT,2,T,25-35W,44.8,3,1,1,1,2,2,193,4,400,4812,1903,1680,2375,1885,5,2857,1645,1645
11,304458,17,106,3,2,1,5,5,MT,1.6,L,10-15W,10.4,1,1,1,1,2,1,90,4,154,4630,1775,1480,1770,1265,5,2700,1535,1535
12,349023,10,450,3,2,1,2,5,MT,1.5,L,10-15W,14,1,1,1,1,2,1,84,4,146,4567,1786,1456,1700,1195,5,2662,1540,1558
13,281792,10,872,2,2,1,4,7,DCT,1.8,T,25-35W,18.3,1,1,1,1,2,2,132,4,300,4319,1785,1441,1885,1435,5,2629,1539,1509
14,510309,83,953,2,1,2,4,9,AT,2,T,35-50W,44.3,3,1,1,1,2,2,155,4,350,4661,1898,1664,2360,1860,5,2873,1617,1613
15,379876,7,985,3,2,1,6,6,AT,1.2,T,10-15W,16,1,1,1,1,2,1,100,3,230,4590,1820,1488,1736,1320,5,2675,1555,1550
16,750340,29,864,2,1,1,1,6,MT,1.5,T,10-15W,13,1,1,1,1,2,1,115,4,215,4530,1900,1700,1860,1485,5,2700,1601,1602
17,576298,158,304,2,3,2,1,5,MT,1.6,L,5-8W,7.1,2,1,1,1,2,1,83,4,138,5055,1695,1960,2160,1560,7月8日,3000,1445,1420
18,347384,28,831,3,2,1,3,6,AT,1.6,L,10-15W,9.3,1,1,1,1,2,1,93.8,4,155.5,4600,1780,1445,1720,1260,5,2700,1555,1568
19,354068,718,692,3,2,1,5,0,CVT,1.6,L,10-15W,10.1,1,1,1,1,2,1,93,4,154,4631,1760,1503,1650,1236,5,2700,1540,1540
20,416749,29,537,2,1,3,5,0,CVT,1.5,L,10-15W,15.8,1,1,1,1,2,1,96,4,155,4270,1772,1605,1775,1205,5,2610,1540,1530
21,125403,66,761,2,3,2,2,6,AT,3,L,35-50W,24.8,1,1,1,1,2,1,187,6,290,5266,1878,1772,2470,1930,7,3088,1593,1603
22,409854,310,638,2,1,1,1,6,MT,1.5,T,10-15W,13.5,1,1,1,1,2,1,110,4,210,4649,1852,1710,2059,1560,5,2680,1565,1565
23,786351,98,836,3,2,1,3,6,MT,1.6,L,10-15W,10.6,1,1,1,1,2,1,93.8,4,155.5,4570,1775,1445,1608,1233,5,2700,1549,1562
24,281301,22,750,3,2,2,4,7,DCT,2,T,25-35W,27.3,1,1,1,1,2,1,162,4,350,4872,1834,1484,2120,1600,5,2803,1577,1550
25,654134,280,290,2,1,1,7,5,AMT,1.8,L,8-10W,9.2,1,1,1,1,2,1,101,4,186,4620,1820,1750,1780,1410,5,2750,1554,1549
26,379876,63,985,3,2,1,6,4,AT,1.6,L,10-15W,16,1,1,1,1,2,1,86,4,150,4558,1805,1505,1798,1370,5,2612,1525,1522
27,745137,328,637,2,2,1,2,6,DCT,1.6,L,10-15W,13.2,1,1,1,1,2,1,94,4,159,4368,1823,1483,1707,1332,5,2648,1553,1544
28,425432,519,750,3,2,1,4,6,AT,1.6,L,10-15W,11.2,1,1,1,1,2,1,81,4,155,4605,1765,1460,1775,1265,5,2610,1517,1493
29,871642,25,637,2,1,1,2,6,AT,1.5,T,20-25W,25.2,3,1,1,1,2,1,133,4,240,4524,1838,1695,2092,1717,5,2690,1563,1565
30,416749,72,537,2,1,3,5,0,CVT,1.8,L,10-15W,15.8,1,1,1,1,2,1,100,4,169,4270,1772,1605,1775,1304,5,2610,1540,1530
31,349023,49,450,3,2,1,2,6,MT,1.5,L,10-15W,14,1,1,1,1,2,1,84,4,146,4666,1807,1460,1670,1240,5,2700,1541,1561
32,576298,40,304,2,3,2,1,5,MT,2,L,5-8W,7.1,2,1,1,1,2,1,89,4,168,4715,1720,1950,2335,1810,7月8日,2800,1445,1420
33,559132,7,692,3,2,2,5,0,CVT,2.5,L,20-25W,18,1,1,1,1,2,1,137,4,234,4891,1830,1490,1900,1497,5,2775,1585,1585
34,290854,160,537,2,1,1,5,0,CVT,2,L,15-20W,20.9,1,1,1,1,2,1,114,4,190,4585,1820,1685,2010,1525,5,2620,1580,1580
35,819061,8,831,2,1,1,3,6,MT,2,L,15-20W,15.3,1,1,1,1,2,1,121,4,199,4450,1855,1635,1980,1431,5,2640,1614,1615
